timestamp_ms,temperature_C,humidity_percent
0,28.19,65.4
1000,28.2,65.37
2000,28.17,65.44
3000,28.22,65.46
4000,28.21,65.41
5000,28.2,65.47
6000,28.2,65.41
7000,28.21,65.35
8000,28.2,65.4
9000,28.21,65.38
10000,28.22,65.41
11000,28.22,65.45
12000,28.21,65.39
13000,28.21,65.43
14000,28.22,65.44
15000,28.21,65.41
16000,28.21,65.4
17000,28.22,65.44
18000,28.22,65.47
19000,28.2,65.42
20000,28.21,65.42
21000,28.23,65.44
22000,28.22,65.46
23000,28.22,65.43
24000,28.23,65.44
25000,28.25,65.44
26000,28.21,65.42
27000,28.24,65.45
28000,28.21,65.44
29000,28.23,65.51
30000,28.21,65.44
31000,28.25,65.48
32000,28.24,65.48
33000,28.24,65.43
34000,28.21,65.42
35000,28.24,65.45
36000,28.22,65.49
37000,28.22,65.45
38000,28.24,65.45
39000,28.24,65.37
40000,28.23,65.46
41000,28.22,65.48
42000,28.22,65.49
43000,28.25,65.49
44000,28.24,65.46
45000,28.24,65.47
46000,28.26,65.51
47000,28.22,65.47
48000,28.27,65.4
49000,28.28,65.51
50000,28.25,65.44
51000,28.24,65.53
52000,28.22,65.54
53000,28.24,65.51
54000,28.22,65.51
55000,28.23,65.55
56000,28.22,65.44
57000,28.23,65.49
58000,28.25,65.49
59000,28.22,65.45
60000,28.21,65.55
61000,28.21,65.46
62000,28.21,65.45
63000,28.2,65.49
64000,28.21,65.51
65000,28.24,65.46
66000,28.21,65.46
67000,28.23,65.49
68000,28.2,65.42
69000,28.22,65.45
70000,28.19,65.44
71000,28.21,65.46
72000,28.25,65.47
73000,28.21,65.53
74000,28.23,65.5
75000,28.22,65.47
76000,28.21,65.46
77000,28.2,65.5
78000,28.23,65.48
79000,28.21,65.49
80000,28.23,65.51
81000,28.2,65.42
82000,28.21,65.38
83000,28.21,65.45
84000,28.21,65.46
85000,28.19,65.46
86000,28.19,65.43
87000,28.2,65.44
88000,28.19,65.47
89000,28.21,65.47
90000,28.21,65.49
91000,28.17,65.37
92000,28.17,65.38
93000,28.18,65.49
94000,28.2,65.46
95000,28.23,65.46
96000,28.19,65.42
97000,28.2,65.41
98000,28.18,65.43
99000,28.18,65.39
100000,28.16,65.37
101000,28.19,65.38
102000,28.2,65.42
103000,28.18,65.44
104000,28.21,65.47
105000,28.19,65.42
106000,28.18,65.43
107000,28.19,65.47
108000,28.19,65.38
109000,28.2,65.37
110000,28.17,65.38
111000,28.15,65.39
112000,28.18,65.47
113000,28.17,65.38
114000,28.18,65.44
115000,28.2,65.37
116000,28.16,65.4
117000,28.19,65.41
118000,28.19,65.4
119000,28.18,65.41
120000,28.19,65.35
121000,28.17,65.43
122000,28.16,65.41
123000,28.19,65.35
124000,28.18,65.39
125000,28.19,65.33
126000,28.17,65.37
127000,28.2,65.32
128000,28.17,65.39
129000,28.15,65.46
130000,28.14,65.41
131000,28.15,65.38
132000,28.18,65.32
133000,28.15,65.36
134000,28.16,65.39
135000,28.2,65.34
136000,28.18,65.35
137000,28.2,65.28
138000,28.16,65.31
139000,28.13,65.28
140000,28.19,65.41
