timestamp_ms,temperature_C,humidity_percent
0,28.24,65.57
1000,28.2,65.17
2000,28.23,65.37
3000,28.13,65.46
4000,28.19,65.43
5000,28.21,65.17
6000,28.2,65.53
7000,28.28,65.44
8000,28.21,65.34
9000,28.21,65.54
10000,28.15,65.19
11000,28.19,65.34
12000,28.17,65.51
13000,28.29,65.45
14000,28.18,65.37
15000,28.2,65.38
16000,28.25,65.37
17000,28.23,65.5
18000,28.14,65.36
19000,28.23,65.48
20000,28.23,65.15
21000,28.23,65.44
22000,28.3,65.47
23000,28.32,65.12
24000,28.3,64.94
25000,28.37,64.78
26000,28.43,64.81
27000,28.44,64.54
28000,28.53,64.41
29000,28.58,64.15
30000,28.59,64.33
31000,28.6,64.16
32000,28.7,64.06
33000,28.69,63.98
34000,28.73,63.8
35000,28.72,63.8
36000,28.78,63.55
37000,28.86,63.57
38000,28.88,63.46
39000,28.88,63.19
40000,28.92,63.16
41000,28.96,63.15
42000,28.94,63.06
43000,29,63.08
44000,29.01,62.92
45000,29.01,62.88
46000,29.09,62.76
47000,29.11,62.42
48000,29.08,62.65
49000,29.13,62.49
50000,29.18,62.51
51000,29.09,62.37
52000,29.23,62.49
53000,29.26,62.34
54000,29.29,62.38
55000,29.26,62.34
56000,29.24,62.13
57000,29.34,62.25
58000,29.27,62.14
59000,29.36,61.95
60000,29.32,62.03
61000,29.32,62.03
62000,29.38,62.14
63000,29.42,61.92
64000,29.38,62.13
65000,29.38,62.02
66000,29.33,61.66
67000,29.43,61.78
68000,29.4,61.97
69000,29.39,61.73
70000,28.25,65.46
71000,28.14,65.57
72000,28.18,65.37
73000,28.2,65.57
74000,28.19,65.56
75000,28.1,65.39
76000,28.21,65.4
77000,28.2,65.42
78000,28.24,65.45
79000,28.28,65.21
80000,28.19,65.38
81000,28.22,65.2
82000,28.21,65.36
83000,28.21,65.37
84000,28.19,65.18
85000,28.22,65.25
86000,28.25,65.35
87000,28.17,65.66
88000,28.28,65.23
89000,28.22,65.41
90000,28.21,65.29
91000,28.11,65.35
92000,28.2,65.52
93000,28.16,65.44
94000,28.22,65.45
95000,28.24,65.46
96000,28.25,65.47
97000,28.19,65.14
98000,28.2,65.45
99000,28.22,65.39
100000,28.12,65.45
101000,28.13,65.65
102000,28.07,65.75
103000,28.06,65.93
104000,27.97,65.86
105000,27.96,66.2
106000,27.87,66.28
107000,27.86,66.43
108000,27.87,66.74
109000,27.79,66.67
110000,27.71,66.79
111000,27.67,66.85
112000,27.56,67.11
113000,27.5,67.41
114000,27.45,67.21
115000,27.44,67.57
116000,27.45,67.37
117000,27.32,67.71
118000,27.32,67.97
119000,27.21,67.97
120000,27.17,68.01
121000,27.21,68.22
122000,27.11,68.49
123000,27.07,68.65
124000,27.15,68.76
125000,27.03,68.75
126000,27,68.81
127000,26.96,68.97
128000,26.95,68.79
129000,26.88,68.9
130000,26.89,69.24
131000,26.9,69.26
132000,26.82,69.33
133000,26.72,69.31
134000,26.77,69.24
135000,26.81,69.26
136000,26.81,69.54
137000,26.76,69.6
138000,26.79,69.37
139000,26.68,69.44
140000,26.77,69.54
141000,26.72,69.68
142000,26.73,69.55
143000,26.59,69.5
144000,26.74,69.72
145000,28.21,65.47
146000,28.28,65.32
147000,28.21,65.32
148000,28.16,65.53
149000,28.17,65.25
150000,28.22,65.36
151000,28.21,65.45
152000,28.17,65.42
153000,28.16,65.51
154000,28.26,65.19
155000,28.19,65.4
156000,28.2,65.44
157000,28.18,65.44
158000,28.26,65.47
159000,28.24,65.26
160000,28.16,65.57
161000,28.2,65.45
162000,28.16,65.47
163000,28.27,65.33
164000,28.22,65.42
165000,28.19,65.56
166000,28.19,65.4
167000,28.22,65.42
168000,28.19,65.44
169000,28.26,65.2
170000,28.16,65.38
171000,28.15,65.48
172000,28.26,65.34
173000,28.18,65.39
174000,28.26,65.4
175000,28.24,65.21
176000,28.18,65.4
177000,28.25,65.04
178000,28.31,65.15
179000,28.33,64.99
180000,28.39,64.86
181000,28.39,64.81
182000,28.44,64.8
183000,28.52,64.71
184000,28.57,64.46
185000,28.52,64.4
186000,28.57,64.23
187000,28.61,64.06
188000,28.59,64.26
189000,28.72,63.93
190000,28.73,63.88
191000,28.76,63.93
192000,28.77,63.64
193000,28.83,63.78
194000,28.87,63.54
195000,28.9,63.43
196000,28.87,63.42
197000,28.92,63.32
198000,28.92,63.38
199000,28.94,63.45
200000,29.02,63.3
201000,29,63.21
202000,29.02,63.03
203000,29.07,63.02
204000,29.09,63
205000,29.05,62.93
206000,29.07,62.91
207000,29.14,62.71
208000,29.14,63.02
209000,29.13,62.61
210000,29.2,62.72
211000,29.16,62.81
212000,29.09,62.59
213000,29.15,62.78
214000,29.13,62.47
215000,29.24,62.53
216000,29.21,62.33
217000,29.2,62.73
218000,29.11,62.45
219000,29.14,62.51
220000,28.19,65.49
221000,28.13,65.43
222000,28.24,65.52
223000,28.2,65.47
224000,28.19,65.5
225000,28.2,65.34
226000,28.16,65.38
227000,28.16,65.48
228000,28.12,65.48
229000,28.2,65.51
230000,28.22,65.3
231000,28.19,65.26
232000,28.19,65.24
233000,28.16,65.34
234000,28.21,65.38
235000,28.1,65.25
236000,28.16,65.37
237000,28.17,65.47
238000,28.18,65.51
239000,28.21,65.32
240000,28.19,65.46
241000,28.21,65.24
242000,28.25,65.31
243000,28.25,65.41
244000,28.23,65.31
245000,28.25,65.3
246000,28.23,65.54
247000,28.13,65.5
248000,28.02,65.75
249000,28.07,65.83
250000,27.95,66.02
251000,28.02,66.16
252000,27.97,66.2
253000,27.84,66.23
254000,27.78,66.52
255000,27.75,66.53
256000,27.74,66.51
257000,27.75,66.74
258000,27.61,66.75
259000,27.66,66.62
260000,27.5,66.91
261000,27.6,67.08
262000,27.51,67.16
263000,27.49,67.13
264000,27.44,67.36
265000,27.45,67.54
266000,27.4,67.44
267000,27.42,67.69
268000,27.25,67.49
269000,27.26,67.87
270000,27.21,67.82
271000,27.27,67.79
272000,27.15,68.15
273000,27.29,68.14
274000,27.17,68.26
275000,27.2,68.24
276000,27.09,68.29
277000,27.12,68.26
278000,27.12,68.4
279000,27.05,68.38
280000,27.05,68.35
281000,27.11,68.44
